ALPHA_H;BETA;D_AGAP;R_ST_OUT;DX;DTHETA;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;0.5;45;0.2572136775260571;0.01388899060070321;0.03464029250731808;-0.2745068282979863;-3.446094495638841E-4;-0.002157794182549901
1.6;0.1;1.5;7.5;0.5;45;0.2804706821635553;-0.003259807784221965;-0.1012366835886459;-0.2636873346054238;-0.001238532693731556;-0.006011397875855279
1.8;0.1;1.5;7.5;0.5;45;0.2649337900127715;-0.02710617037850597;-0.01052338690371229;-0.2562485829974499;-0.001359711787847022;0.0019895347312695
2.0;0.1;1.5;7.5;0.5;45;0.2471546350022161;0.01085618906511595;0.08067222091773928;-0.2484318842595275;-0.002941705960377367;0.005639609013930207
1.4;0.2;1.5;7.5;0.5;45;0.8373026072180806;0.008048102397840037;-0.01025531256238163;-0.8168068968536013;0.001939967453579536;5.285360843567343E-4
1.6;0.2;1.5;7.5;0.5;45;0.8119439313669452;0.009733110140171012;-0.01030337894558391;-0.7925247534304714;-0.001524609675483451;-0.001682351576559499
1.8;0.2;1.5;7.5;0.5;45;0.7895514096510463;-0.00571655472201375;0.004421716723673993;-0.7726097059693012;0.004408394794882223;-0.001296410610691306
2.0;0.2;1.5;7.5;0.5;45;0.7747154399100384;0.002128929393272516;-0.01071109984691828;-0.7438817024416802;-0.001602863422721959;6.037100607945507E-4
1.4;0.3;1.5;7.5;0.5;45;1.388930720595433;0.005657290733492844;0.00892816102575977;-1.378682617514392;-0.007352367984335409;0.001645452378121565
1.6;0.3;1.5;7.5;0.5;45;1.318892005722089;-0.001687080056614817;-0.01071678470558969;-1.313008504462667;-0.002451366673908845;0.001574105997684643
1.8;0.3;1.5;7.5;0.5;45;1.276902928159758;-0.002633584012457075;0.01134807724471793;-1.263423769626362;0.001681633709449088;-0.004470916634752838
2.0;0.3;1.5;7.5;0.5;45;1.220608727487139;0.003192633700060977;5.445663707076605E-4;-1.214098305393985;-4.385653147741565E-4;-0.002389476563121342
1.4;0.4;1.5;7.5;0.5;45;1.907066323343553;0.008827933868677737;-0.01766475431034075;-1.893385550339166;-0.001585535038382089;-0.004685598654834564
1.6;0.4;1.5;7.5;0.5;45;1.816023925569726;0.003030941297364365;0.002617291416237167;-1.794047015713641;0.003936260040983484;0.001497576801356505
1.8;0.4;1.5;7.5;0.5;45;1.729054486674182;-0.00911611991448508;5.10033967757507E-4;-1.70731530823222;0.004269053018563403;5.68440744546436E-4
2.0;0.4;1.5;7.5;0.5;45;1.629329848107059;0.001083332277391424;-0.01290614729657111;-1.620827111648715;0.002901563349591144;-8.304223423538225E-4
