 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; JT_RMS ; R_ROT_OUT ; V_FE_ST ; V_FE_ROT ; V_PM ; V_COIL ; IT_HAT ; P_CU_TOT ; A_CU ; TZ_ROT ; TZ_ST ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.2828642106195572E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.2632064399548878E+02 ;    0.3297974496841885E+01 ;    0.1768747276496847E-01 ;    0.2332020130897189E+00 ;    0.5962247553822689E-04 ;   -0.2257772296383693E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.2545777895576015E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.2515463393004018E+02 ;    0.3297974496841885E+01 ;    0.1690391400098702E-01 ;    0.2332020130897189E+00 ;    0.3958201280378929E-04 ;   -0.1617059210574820E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.5455238347662889E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.3714788031751144E+02 ;    0.3297974496841885E+01 ;    0.2496337557336770E-01 ;    0.2332020130897189E+00 ;    0.8205574758082316E-04 ;   -0.3855734877122381E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.4773333554205029E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.3433696319544787E+02 ;    0.3297974496841885E+01 ;    0.2307443926734099E-01 ;    0.2332020130897189E+00 ;    0.7204320008909337E-04 ;   -0.3723251197574779E-04 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.4242963159293359E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.3215069432273176E+02 ;    0.3297974496841885E+01 ;    0.2160526658487575E-01 ;    0.2332020130897189E+00 ;    0.4671841877322498E-04 ;   -0.4461113017165372E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3818666843364023E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.3040167922455886E+02 ;    0.3297974496841885E+01 ;    0.2042992843890357E-01 ;    0.2332020130897189E+00 ;    0.3028131186020255E-04 ;   -0.4457111409543854E-04 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.7273651130217186E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.4464365930968098E+02 ;    0.3297974496841885E+01 ;    0.3000053905610564E-01 ;    0.2332020130897189E+00 ;    0.6984352118191951E-04 ;   -0.5364730643225718E-04 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.6364444738940037E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.4089576981359622E+02 ;    0.3297974496841885E+01 ;    0.2748195731473668E-01 ;    0.2332020130897189E+00 ;    0.8552608633983970E-04 ;   -0.4667637084013244E-04 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.5657284212391145E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.3798074464997473E+02 ;    0.3297974496841885E+01 ;    0.2552306040478303E-01 ;    0.2332020130897189E+00 ;    0.7905448047067030E-04 ;   -0.6186255455999553E-04 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.5091555791152029E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.3564872451907753E+02 ;    0.3297974496841885E+01 ;    0.2395594287682011E-01 ;    0.2332020130897189E+00 ;    0.7471944450721649E-04 ;   -0.5437252347749800E-04 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.9092063912771481E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.5213943830185052E+02 ;    0.3297974496841885E+01 ;    0.3503770253884357E-01 ;    0.2332020130897189E+00 ;    0.8382721802677824E-04 ;   -0.9972922250509227E-04 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.7955555923675046E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.4745457643174455E+02 ;    0.3297974496841885E+01 ;    0.3188947536213235E-01 ;    0.2332020130897189E+00 ;    0.1449515899451083E-03 ;   -0.7876546827812175E-04 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.7071605265488930E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.4381079497721770E+02 ;    0.3297974496841885E+01 ;    0.2944085422469031E-01 ;    0.2332020130897189E+00 ;    0.1044972674464297E-03 ;   -0.6929449028501399E-04 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.6364444738940036E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.4089576981359621E+02 ;    0.3297974496841885E+01 ;    0.2748195731473667E-01 ;    0.2332020130897189E+00 ;    0.1645633536752621E-03 ;   -0.5387283360845538E-04 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1860303681799500E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.9471052142848992E+01 ;    0.1454868963650765E+01 ;    0.6364547039994525E-02 ;    0.1028747709935300E+00 ;    0.1325523188579295E-04 ;   -0.3294924227654374E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1627765721574563E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.9057716009392843E+01 ;    0.1454868963650765E+01 ;    0.6086785158311995E-02 ;    0.1028747709935300E+00 ;    0.1640426533654438E-04 ;   -0.2257903045666757E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1446902863621833E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.8736232350038060E+01 ;    0.1454868963650765E+01 ;    0.5870748139225580E-02 ;    0.1028747709935300E+00 ;    0.3364530243919466E-04 ;   -0.3089540147960472E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1302212577259650E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.8479045422554238E+01 ;    0.1454868963650765E+01 ;    0.5697918523956450E-02 ;    0.1028747709935300E+00 ;    0.2257269114400009E-04 ;   -0.1268985637425882E-05 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3720607363599000E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.1277774121049817E+02 ;    0.1454868963650765E+01 ;    0.8586642093454775E-02 ;    0.1028747709935300E+00 ;   -0.6749716709371595E-05 ;   -0.7568961269437599E-05 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3255531443149125E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.1195106894358588E+02 ;    0.1454868963650765E+01 ;    0.8031118330089713E-02 ;    0.1028747709935300E+00 ;    0.7963417638591135E-05 ;   -0.6566337873175584E-05 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.2893805727243667E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.1130810162487631E+02 ;    0.1454868963650765E+01 ;    0.7599044291916887E-02 ;    0.1028747709935300E+00 ;   -0.2135834141810736E-04 ;   -0.1056227010599528E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.2604425154519299E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.1079372776990866E+02 ;    0.1454868963650765E+01 ;    0.7253385061378624E-02 ;    0.1028747709935300E+00 ;    0.2091920102238992E-04 ;   -0.7164692368088886E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.5580911045398500E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.1608443027814735E+02 ;    0.1454868963650765E+01 ;    0.1080873714691503E-01 ;    0.1028747709935300E+00 ;    0.2115791615614454E-04 ;   -0.1127327810065577E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.4883297164723688E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.1484442187777891E+02 ;    0.1454868963650765E+01 ;    0.9975451501867435E-02 ;    0.1028747709935300E+00 ;    0.1810508387004481E-04 ;   -0.1377232110370717E-04 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.4340708590865501E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.1387997089971457E+02 ;    0.1454868963650765E+01 ;    0.9327340444608194E-02 ;    0.1028747709935300E+00 ;    0.2653430722130090E-04 ;   -0.1105863653505471E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3906637731778950E+03 ;    0.1344055594883182E+04 ;    0.1440299401184244E+03 ;    0.1310841011726309E+02 ;    0.1454868963650765E+01 ;    0.8808851598800800E-02 ;    0.1028747709935300E+00 ;    0.1929129606330616E-04 ;   -0.1682506141257117E-04 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.7441214727198000E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.1939111934579653E+02 ;    0.1454868963650765E+01 ;    0.1303083220037528E-01 ;    0.1028747709935300E+00 ;    0.7920598475487655E-04 ;   -0.1878199855794923E-04 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.6511062886298250E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.1773777481197194E+02 ;    0.1454868963650765E+01 ;    0.1191978467364515E-01 ;    0.1028747709935300E+00 ;    0.3970978733129267E-04 ;   -0.2151267954719064E-04 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.5787611454487334E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.1645184017455281E+02 ;    0.1454868963650765E+01 ;    0.1105563659729950E-01 ;    0.1028747709935300E+00 ;    0.4014495427927656E-04 ;   -0.1550655801863241E-04 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.5208850309038598E+03 ;    0.1792074126510909E+04 ;    0.1920399201578991E+03 ;    0.1542309246461751E+02 ;    0.1454868963650765E+01 ;    0.1036431813622297E-01 ;    0.1028747709935300E+00 ;    0.4749854610053586E-04 ;   -0.1055364131495518E-04 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.9301518408997499E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.2269780841344571E+02 ;    0.1454868963650765E+01 ;    0.1525292725383553E-01 ;    0.1028747709935300E+00 ;    0.5436244574812101E-04 ;   -0.2505371274729490E-04 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.8138828607872811E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.2063112774616497E+02 ;    0.1454868963650765E+01 ;    0.1386411784542287E-01 ;    0.1028747709935300E+00 ;    0.4797054876251076E-04 ;   -0.2448044921751703E-04 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.7234514318109166E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.1902370944939107E+02 ;    0.1454868963650765E+01 ;    0.1278393274999081E-01 ;    0.1028747709935300E+00 ;    0.2942388267164305E-04 ;   -0.1871897495875435E-04 ;
