 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.5440140006519684E-03 ;    0.2136996952813538E-03 ;   -0.4928321837766239E-03 ;    0.1041877479829522E-04 ;   -0.4517345829931639E-04 ;   -0.9311097314022296E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.6921061155823723E-04 ;    0.1739824454227679E-03 ;   -0.1208634186242241E-03 ;   -0.3437099283381824E-05 ;   -0.1052149520788762E-04 ;    0.9387071825789110E-06 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1386759041558592E-04 ;    0.1958486363986365E-03 ;   -0.4143544020524314E-03 ;   -0.1353152747629574E-06 ;   -0.6437150227643733E-04 ;   -0.2031212077855861E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1919529754915352E-03 ;    0.1885588657931021E-03 ;   -0.3152892185077600E-03 ;   -0.1787841022436335E-04 ;    0.4932135568397668E-05 ;   -0.7394409474726942E-06 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2090572745180037E-03 ;    0.2649889847420757E-03 ;    0.8200657825724657E-04 ;    0.3688574469427262E-05 ;    0.1412854221271955E-04 ;    0.2380875683157492E-05 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1586739211468526E-03 ;    0.3648043913145049E-03 ;    0.9693301506081275E-05 ;   -0.3636267034304721E-06 ;   -0.9292698684764053E-07 ;   -0.1261686098069913E-04 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3075144344633001E-03 ;    0.3970721598328005E-03 ;    0.1240029479905447E-04 ;    0.2287822970065128E-04 ;    0.9922562315716842E-05 ;    0.3320438067142953E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.5059056360882207E-03 ;    0.4157084308826042E-03 ;   -0.1093976473511041E-03 ;   -0.1040279851832619E-04 ;   -0.1808977580859244E-04 ;    0.5295149791042205E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1399894470630478E-03 ;    0.9809436602450248E-04 ;   -0.3735232087286415E-04 ;    0.1697749324674555E-06 ;   -0.1134708036758299E-04 ;    0.2450484319892223E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2435181100270853E-03 ;    0.2829485242061822E-03 ;   -0.7054984467237393E-04 ;   -0.8363357068432559E-05 ;   -0.3078420189624936E-05 ;   -0.6078513067253388E-06 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4148217267920974E-03 ;    0.4267711964385213E-03 ;   -0.8653815003787698E-04 ;    0.4886074709458904E-05 ;   -0.1438434464487265E-04 ;    0.1186105233473802E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.5609791303335708E-03 ;    0.4933594937282666E-03 ;   -0.6209377448613400E-04 ;    0.1253214216975786E-04 ;   -0.8049092698518638E-06 ;   -0.5571115827560767E-05 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.2407891494008776E-03 ;   -0.2163022422259512E-03 ;    0.4826065519754946E-04 ;    0.2109008956742506E-05 ;    0.5744294810460574E-05 ;   -0.3247811010582589E-05 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1511847159208225E-03 ;    0.1149414383706001E-03 ;   -0.5410560954353005E-04 ;   -0.8776145861746345E-06 ;   -0.2342950498660528E-04 ;    0.9283373906729040E-05 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1584444363943336E-03 ;    0.2891004292651571E-03 ;    0.1457591342819509E-03 ;    0.5465578981768886E-05 ;    0.1294901502550267E-04 ;    0.2132934163206589E-04 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4288660415028401E-03 ;    0.4246283304025574E-03 ;   -0.3023507466137629E-04 ;    0.2779574881069677E-05 ;    0.1035011138413814E-04 ;    0.3780794738144056E-04 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6584448282090650E-03 ;   -0.6622981581720358E-03 ;   -0.8887632318988018E-04 ;    0.1496105967392017E-05 ;   -0.1805928360047460E-04 ;    0.2848968150057051E-04 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.9788519993517389E-04 ;   -0.1620441985668552E-03 ;   -0.2858089404281670E-04 ;    0.5441616887567708E-05 ;    0.2884112365874731E-04 ;    0.3738878942350485E-04 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2024028621031610E-03 ;    0.1273095811372879E-03 ;   -0.1450855056760160E-03 ;   -0.5720988666050411E-05 ;    0.1564282602229285E-04 ;    0.2163438864094182E-04 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3396724666749205E-03 ;    0.3224359041790082E-03 ;    0.1230843102568886E-03 ;    0.1117109709838561E-05 ;    0.3249720358165312E-04 ;    0.5913047625477332E-05 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.2969364270032101E-03 ;    0.7179667088595785E-04 ;    0.3717836997924020E-04 ;   -0.1040507517004784E-04 ;   -0.1985564455749283E-04 ;   -0.6274424718709292E-06 ;
