ALPHA_H;BETA;D_AGAP;R_ST_OUT;DX;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.25;7.5;0.5;0.3944225964531613;0.00439786562789;0.006072987243232117;-0.3735590983987207;-0.00124759151563351;-0.005349744095510409
1.6;0.1;1.25;7.5;0.5;0.3691007256259096;0.0190016481208433;-0.03291471308744647;-0.358403066540839;-8.490007608104109E-4;-0.002734310474482554
1.8;0.1;1.25;7.5;0.5;0.3533465809613141;-0.02337277201580894;-0.02634978615927872;-0.350112216155595;3.27785931157946E-4;-4.708956254434208E-4
2.0;0.1;1.25;7.5;0.5;0.3523139852862051;-0.003381933562382835;0.008257373007707259;-0.342362820542816;6.927676823045739E-4;0.001136821207886843
1.4;0.2;1.25;7.5;0.5;1.059985538655539;-0.01048731395625056;0.01649655108734139;-1.045095232694966;4.944774354476867E-4;-0.004090601932405782
1.6;0.2;1.25;7.5;0.5;1.025314294666617;0.001778328464160024;-0.03872953824301742;-1.014440882289781;-0.003292239982255378;-0.008133404203223723
1.8;0.2;1.25;7.5;0.5;0.9927568019112146;0.01698103593409219;-0.03117208273364521;-0.9896434640676242;-0.004294401004878472;-0.002920845354986989
2.0;0.2;1.25;7.5;0.5;0.9627944616191675;-0.008385224600595672;0.0148534780768024;-0.9529522595356534;-0.00783909543283921;0.001468440509390359
1.4;0.3;1.25;7.5;0.5;1.717212671448722;0.0111958793761254;-0.0110535572703513;-1.700135965865239;0.001612927562552359;-0.00339034555818275
1.6;0.3;1.25;7.5;0.5;1.637569905042967;0.007724039326367833;-0.01731224042416121;-1.626806832456331;-0.002683076460561332;-0.005329686113542097
1.8;0.3;1.25;7.5;0.5;1.5662641354909;-0.0129929294349166;-0.03862129304396113;-1.547109858402747;0.001316062018398026;-0.004662804852871818
2.0;0.3;1.25;7.5;0.5;1.476745904445625;0.03335206703143285;-0.02071161567100024;-1.477689469198039;0.004807115855238835;-0.001855664648018783
1.4;0.1;1.5;7.5;0.5;0.2427494035086142;-0.005401402325416067;-0.03545624794612001;-0.2394047122046188;-6.194945632004606E-4;-0.001937232332458444
1.6;0.1;1.5;7.5;0.5;0.2420245727674815;-0.002536853572736601;0.01260973041597138;-0.2360987347998342;-0.002095124115217507;0.002758655418755602
1.8;0.1;1.5;7.5;0.5;0.2391150223016597;-0.004227302190220894;0.01505540833917454;-0.2268626108920098;0.002354797158444499;0.002804312957878031
2.0;0.1;1.5;7.5;0.5;0.2291071780147927;0.01415875302457648;0.001690471015232462;-0.2248258495247392;0.003098104864470152;0.004500292960038742
1.4;0.2;1.5;7.5;0.5;0.7339633970158486;-0.01389098397803501;-0.02129400557584475;-0.7314310730658892;4.739576717801772E-5;-0.004879712147301399
1.6;0.2;1.5;7.5;0.5;0.7343499810746968;0.0263917399308749;0.01823758578482893;-0.7023016889981533;-0.002278669169149828;0.004467583071538497
1.8;0.2;1.5;7.5;0.5;0.6900668243731113;-1.530753441461772E-4;0.002309897371516633;-0.6817942803447251;0.002979803741472259;-0.001714251054764537
2.0;0.2;1.5;7.5;0.5;0.6657280870294688;0.02559722320653968;-0.01468139192456825;-0.6633072775115627;0.002134598883376538;0.01136588700326171
1.4;0.3;1.5;7.5;0.5;1.224203652529619;-0.003682554563818322;-0.04007871705060755;-1.21311904931193;-0.00156115833438317;-0.005745479386895899
1.6;0.3;1.5;7.5;0.5;1.193750190928751;-0.006394024220562746;0.0214741465786117;-1.161771817803676;0.007653153639019601;-0.001086466855236079
1.8;0.3;1.5;7.5;0.5;1.124622547794306;-0.01812836366243053;0.007985047291248448;-1.118310698463125;0.006072662769561827;0.006673563700240834
2.0;0.3;1.5;7.5;0.5;1.091457032011171;-0.02013958072609634;0.006065132170447914;-1.068215389994171;7.08738961669903E-4;5.044562583245375E-4
1.4;0.1;1.75;7.5;0.5;0.1430182943093539;-0.01104543740286388;0.04187999455021351;-0.1599490820065416;0.002060148995915725;0.001965367122901247
1.6;0.1;1.75;7.5;0.5;0.1583048740186492;0.01012928395238346;-0.0209892573501691;-0.1556460378585003;0.001102876073035701;-1.358621483269842E-4
1.8;0.1;1.75;7.5;0.5;0.1439126078099299;0.00565805572013303;-4.002778337637561E-4;-0.1536440024063542;-3.378317071535738E-4;0.002126736694172356
2.0;0.1;1.75;7.5;0.5;0.1646978723298687;0.00979455199456704;-0.003587669854737428;-0.1476360175372792;8.751340425947038E-4;-0.001025449025232319
1.4;0.2;1.75;7.5;0.5;0.5142846425046715;-0.007695985527536499;0.06143688301165471;-0.5080738865034091;0.004129828806813768;0.002585887124663004
1.6;0.2;1.75;7.5;0.5;0.5059414478680148;0.01507572791360314;0.02187799969201335;-0.4949910604819009;-0.001832435814315897;-0.008987949273100499
1.8;0.2;1.75;7.5;0.5;0.4824775462220852;0.0155757752522186;-0.0297290808197827;-0.4854744375198771;0.004716029597051278;0.005914871277768382
2.0;0.2;1.75;7.5;0.5;0.4525892348456789;0.008680909040214502;0.01639826768379565;-0.4645628790779925;-0.003127187577571007;-0.002508217433147767
1.4;0.3;1.75;7.5;0.5;0.873562838123058;0.01071747888150456;0.02292921304967774;-0.8725972943087177;4.436523989164744E-4;-5.171453463103073E-4
1.6;0.3;1.75;7.5;0.5;0.842819654609931;0.0155525247909384;-0.02855283272551202;-0.8390201288055246;0.001182855400831436;0.004883005924165987
1.8;0.3;1.75;7.5;0.5;0.8259318359758384;0.02149901927606672;-0.02177045780959304;-0.8069206098391946;-8.027505517089009E-4;-0.003130176085178362
2.0;0.3;1.75;7.5;0.5;0.7900782748932791;-0.01882416331620489;-0.03351546169912174;-0.7785862064459415;0.001858419550013702;-0.001652286327133665
1.4;0.1;2.0;7.5;0.5;0.09902639458084386;7.392071062713619E-4;-0.002932458671929147;-0.1072472801843849;2.379143354705117E-4;0.001048638528529428
1.6;0.1;2.0;7.5;0.5;0.1086572785158733;-0.001582454198528746;-0.01241627592491918;-0.1069680086104565;-7.993773776150722E-4;-0.002695613369976833
1.8;0.1;2.0;7.5;0.5;0.0990207100200313;0.005539014507281669;0.02233786186116982;-0.1024991017176889;0.001353092134318833;-3.705421110002526E-4
2.0;0.1;2.0;7.5;0.5;0.09906684587444785;0.01334292494317905;-0.004160802992989874;-0.09786855782931893;-6.606159101726233E-4;-5.173222476768524E-4
1.4;0.2;2.0;7.5;0.5;0.3634013889846959;4.159429144589188E-5;-0.0163244667921437;-0.3668637570598503;0.001592282017665839;-8.153159064400108E-4
1.6;0.2;2.0;7.5;0.5;0.3525259103600339;0.009563615043888949;-0.0171314998450531;-0.3538955815937142;-6.122700478908196E-4;-0.002016135756144585
1.8;0.2;2.0;7.5;0.5;0.3424366006868705;-0.008050726587746011;0.002037428455762434;-0.3423803734818204;0.001399749250080514;-0.002345368090587706
2.0;0.2;2.0;7.5;0.5;0.2972903767158676;0.008272996987422523;0.005305462847488748;-0.3312391007527732;-0.001536559922719195;2.421854642840354E-4
1.4;0.3;2.0;7.5;0.5;0.6315511325264559;0.00985128860477117;0.004104086094971052;-0.640213062623073;-0.005513841116281375;0.001565546524096442
1.6;0.3;2.0;7.5;0.5;0.6309031294670999;-0.004377555167866415;0.03010614682139419;-0.6188363027847155;6.900956702938534E-4;-3.988239697263337E-4
1.8;0.3;2.0;7.5;0.5;0.6203406559189526;-0.01624823869405458;-0.04540357529590148;-0.5919644030626162;-6.699683288925772E-4;0.002449912454713204
2.0;0.3;2.0;7.5;0.5;0.5622864897303811;-0.009121777710720749;0.002643951343618382;-0.5717738381094427;3.124443810864717E-4;-0.004537432374876835
