 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; JT_RMS ; R_ROT_OUT ; V_FE_ST ; V_FE_ROT ; V_PM ; V_COIL ; IT_HAT ; P_CU_TOT ; A_CU ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1749287847918028E+03 ;    0.4480185316277272E+03 ;    0.3600748502960609E+02 ;    0.4653384408634290E+02 ;    0.3803589872572735E+01 ;    0.1125746756136808E-01 ;    0.4482573652914428E+00 ;    0.4336995468973385E-04 ;   -0.2673481682786220E-04 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1530626866928275E+03 ;    0.4480185316277272E+03 ;    0.3600748502960609E+02 ;    0.4473281002936835E+02 ;    0.3803589872572735E+01 ;    0.1082176140230480E-01 ;    0.4482573652914428E+00 ;    0.1241120801145969E-04 ;   -0.2915550215278363E-04 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1360557215047355E+03 ;    0.4480185316277272E+03 ;    0.3600748502960609E+02 ;    0.4333200576283259E+02 ;    0.3803589872572735E+01 ;    0.1048287883414447E-01 ;    0.4482573652914428E+00 ;    0.1841072439017073E-05 ;   -0.2014840403840159E-04 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1224501493542619E+03 ;    0.4480185316277272E+03 ;    0.3600748502960609E+02 ;    0.4221136234960398E+02 ;    0.3803589872572735E+01 ;    0.1021177277961620E-01 ;    0.4482573652914428E+00 ;    0.7319234925775192E-05 ;   -0.2363410464159627E-04 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.3498575695836056E+03 ;    0.8960370632554544E+03 ;    0.7201497005921217E+02 ;    0.6094211654213927E+02 ;    0.3803589872572735E+01 ;    0.1474311683387434E-01 ;    0.4482573652914428E+00 ;    0.5072093524206487E-04 ;   -0.5785153521454468E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.3061253733856549E+03 ;    0.8960370632554544E+03 ;    0.7201497005921217E+02 ;    0.5734004842819017E+02 ;    0.3803589872572735E+01 ;    0.1387170451574777E-01 ;    0.4482573652914428E+00 ;    0.7109008924006027E-04 ;   -0.6456544494618633E-04 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.2721114430094710E+03 ;    0.8960370632554544E+03 ;    0.7201497005921217E+02 ;    0.5453843989511866E+02 ;    0.3803589872572735E+01 ;    0.1319393937942711E-01 ;    0.4482573652914428E+00 ;    0.4268464288898851E-04 ;   -0.5252671279853175E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.2449002987085239E+03 ;    0.8960370632554544E+03 ;    0.7201497005921217E+02 ;    0.5229715306866144E+02 ;    0.3803589872572735E+01 ;    0.1265172727037058E-01 ;    0.4482573652914428E+00 ;    0.6275408218044263E-04 ;   -0.4087862729552074E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.5247863543754083E+03 ;    0.1344055594883182E+04 ;    0.1080224550888183E+03 ;    0.7535038899793564E+02 ;    0.3803589872572735E+01 ;    0.1822876610638060E-01 ;    0.4482573652914428E+00 ;    0.1391312610335493E-03 ;   -0.8996511479134801E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.4591880600784823E+03 ;    0.1344055594883182E+04 ;    0.1080224550888183E+03 ;    0.6994728682701201E+02 ;    0.3803589872572735E+01 ;    0.1692164762919075E-01 ;    0.4482573652914428E+00 ;    0.1312564565524197E-03 ;   -0.7548372982149650E-04 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.7500000000000000E+01 ;    0.4081671645142066E+03 ;    0.1344055594883182E+04 ;    0.1080224550888183E+03 ;    0.6574487402740472E+02 ;    0.3803589872572735E+01 ;    0.1590499992470976E-01 ;    0.4482573652914428E+00 ;    0.1281905295499195E-03 ;   -0.7433134629629098E-04 ;
