 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; L_BAR_PH ; R_ST_OUT_PH ; R_SC ; K_W_SLOT ; H_ST_PH ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6920703400837310E+01 ;    0.3980769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.1071428571428572E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6652846257980166E+01 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.9375000000000002E+00 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6444512924646833E+01 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.8333333333333335E+00 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.6277846257980166E+01 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.7500000000000000E+00 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.9063560543694454E+01 ;    0.3980769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.2142857142857143E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.8527846257980165E+01 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1875000000000000E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.8111179591313499E+01 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1666666666666667E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.7777846257980166E+01 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1500000000000000E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.1120641768655160E+02 ;    0.3980769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.3214285714285714E+01 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.1040284625798017E+02 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2812500000000000E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.9777846257980165E+01 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2500000000000000E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.9277846257980165E+01 ;    0.3980769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2250000000000000E+01 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6822528630412628E+01 ;    0.3730769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.1071428571428572E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6554671487555484E+01 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.9375000000000002E+00 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6346338154222151E+01 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.8333333333333335E+00 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6179671487555484E+01 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.7500000000000000E+00 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.8965385773269773E+01 ;    0.3730769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.2142857142857143E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.8429671487555485E+01 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1875000000000000E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.8013004820888819E+01 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1666666666666667E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.7679671487555484E+01 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1500000000000000E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1110824291612692E+02 ;    0.3730769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.3214285714285714E+01 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1030467148755549E+02 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2812500000000000E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.9679671487555485E+01 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2500000000000000E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.9179671487555485E+01 ;    0.3730769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2250000000000000E+01 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6724353859987947E+01 ;    0.3480769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.1071428571428572E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6456496717130803E+01 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.9375000000000002E+00 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6248163383797470E+01 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.8333333333333335E+00 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6081496717130803E+01 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.7500000000000000E+00 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.8867211002845091E+01 ;    0.3480769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.2142857142857143E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.8331496717130804E+01 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1875000000000000E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.7914830050464137E+01 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1666666666666667E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.7581496717130803E+01 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1500000000000000E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.1101006814570223E+02 ;    0.3480769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.3214285714285714E+01 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.1020649671713080E+02 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2812500000000000E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.9581496717130802E+01 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2500000000000000E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.9081496717130802E+01 ;    0.3480769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2250000000000000E+01 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6626179089563266E+01 ;    0.3230769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.1071428571428572E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6358321946706122E+01 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.9375000000000002E+00 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6149988613372790E+01 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.8333333333333335E+00 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.5983321946706122E+01 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.7500000000000000E+00 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.8769036232420410E+01 ;    0.3230769230769232E+01 ;    0.2000000000000001E+01 ;    0.2666666666666667E+00 ;    0.2142857142857143E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.8233321946706123E+01 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1875000000000000E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.7816655280039456E+01 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1666666666666667E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.7483321946706122E+01 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.1500000000000000E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1091189337527755E+02 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.3214285714285714E+01 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1010832194670612E+02 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2812500000000000E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.9483321946706122E+01 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2500000000000000E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.8983321946706122E+01 ;    0.3230769230769231E+01 ;    0.2000000000000000E+01 ;    0.2666666666666667E+00 ;    0.2250000000000000E+01 ;
