 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1259112765199879E-03 ;    0.2342861884499848E-03 ;    0.1036304763609653E-03 ;    0.2054314099843086E-04 ;    0.4847977400185823E-04 ;    0.6685428474078169E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1783636433179733E-03 ;    0.2430966752702997E-03 ;    0.2705181109927894E-03 ;    0.3727531197585195E-05 ;    0.3924633568032141E-04 ;   -0.7216770003652298E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1305897358027792E-03 ;    0.2671181120694041E-03 ;    0.3957565575103051E-04 ;   -0.1291008104987998E-04 ;    0.1201913732890124E-04 ;    0.1428357821062338E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;    0.3557042134220378E-04 ;    0.2634291946547728E-03 ;   -0.4562831107741765E-05 ;    0.7700715151130319E-05 ;    0.4646822058239259E-04 ;    0.2341527355652974E-05 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1925965138172812E-03 ;    0.2842381097367522E-03 ;   -0.1601229700727019E-04 ;   -0.8229689145561026E-06 ;    0.2071627617918125E-04 ;    0.1145731728499529E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2104768292292315E-03 ;    0.3791134493803481E-03 ;    0.8602579512831919E-04 ;   -0.1151116816631734E-04 ;    0.6001003906548333E-04 ;    0.1407640449402266E-04 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3897611719474379E-03 ;    0.4450817794877703E-03 ;   -0.1582054653798313E-03 ;    0.2554455312500598E-05 ;    0.2441075585985412E-04 ;    0.5743867164329160E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3123917114451134E-03 ;    0.4738217508933581E-03 ;   -0.2276140082604850E-04 ;    0.5840738868010901E-05 ;   -0.7998665094830861E-05 ;    0.1152317845301815E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4979621303775921E-04 ;    0.6546514229457820E-04 ;   -0.1551123155617919E-05 ;   -0.1207696039575721E-04 ;    0.5072402965046319E-04 ;   -0.1205563289534496E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3793515296550838E-03 ;    0.2995673173021478E-03 ;   -0.1208644339008123E-03 ;   -0.9970517850535546E-06 ;    0.5349310317548295E-05 ;    0.1269992945227915E-04 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3852394634216405E-03 ;    0.4605582238245894E-03 ;   -0.1003066360814086E-03 ;   -0.1011035723265147E-06 ;   -0.5593972448024654E-04 ;   -0.2936681036994994E-05 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4684054464436421E-03 ;    0.5141100306040440E-03 ;    0.6184203203479942E-04 ;    0.3694747482295762E-05 ;   -0.1252487380848011E-04 ;   -0.1245450268708544E-04 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1955350757830924E-03 ;    0.1379008692546385E-03 ;    0.8516924010726543E-04 ;   -0.1074050113234374E-04 ;   -0.3557585349412835E-05 ;   -0.4227416856774420E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2493765177396981E-03 ;    0.1403633842194336E-03 ;    0.1844046894571844E-03 ;    0.7014740045808176E-05 ;    0.4184231107300177E-04 ;    0.5399691515278198E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3462465976000214E-04 ;    0.1441038391581788E-03 ;    0.1255826847559900E-03 ;   -0.7593611553709611E-05 ;    0.1867676978765333E-04 ;   -0.2641461713042843E-06 ;
