ALPHA_H;BETA;D_AGAP;R_ST_OUT;DZ;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.25;7.5;0.5;0.01067127194122164;0.001080272650562941;-0.1101301839212092;6.530432187343699E-4;-8.488679603497469E-4;0.1741302309911345
1.6;0.1;1.25;7.5;0.5;-0.01257614443011484;-0.001785546356830926;-0.116852143296454;-0.006212418219790981;0.006872084975707751;0.1696717299173328
1.8;0.1;1.25;7.5;0.5;0.008747930087601863;-0.02164891480743169;-0.1514689640914199;0.003999053518570109;-0.001008944555091566;0.1726858199420279
2.0;0.1;1.25;7.5;0.5;-0.004619094402086731;0.006375356052895306;0.001069318643867407;2.215954010958178E-4;7.495001634745362E-4;0.1752499573749831
1.4;0.2;1.25;7.5;0.5;-0.001165413281860735;0.01811282641947757;-0.2812676531481059;0.001822094522092669;-0.003699783721871382;0.3368948305530961
1.6;0.2;1.25;7.5;0.5;0.005352952442389661;-0.009622312166169192;-0.3247210773032668;-0.001823674910351736;0.002921592181604423;0.3563695629138408
1.8;0.2;1.25;7.5;0.5;-0.01449686897828694;-0.006267694133294267;-0.3488598551066493;-0.008736103459703496;-0.004280806365308852;0.3729083351372929
2.0;0.2;1.25;7.5;0.5;-0.01561966413940263;-0.001426002155178399;-0.3535777048620869;0.005481733478194016;0.006745404341419264;0.3804900429178728
1.4;0.3;1.25;7.5;0.5;-0.002749003232887246;0.01324925009071307;-0.4366970662090806;5.892901239082406E-4;7.346633735350839E-4;0.4097007448465441
1.6;0.3;1.25;7.5;0.5;-0.009001404797611455;-6.924547083928985E-4;-0.4509841759973239;-0.006688324819400925;-0.01033562461166846;0.4214084915376791
1.8;0.3;1.25;7.5;0.5;-8.990399104693753E-4;0.008993917789607571;-0.430328077425669;-0.003088498413194116;-0.001014541039155395;0.4351598606825669
2.0;0.3;1.25;7.5;0.5;0.00986892592242578;-0.008915972939894608;-0.4028916404209017;-0.007933412562243149;0.003421987405280438;0.4318818746543429
1.4;0.1;1.5;7.5;0.5;-0.003651804785396227;0.007356410156206254;-0.02290546001594003;-0.001351255191522403;-0.001292236754548586;0.1104718599647954
