 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.9054814714370129E-05 ;    0.2007910558014417E-03 ;   -0.8102240189112011E-04 ;   -0.8237935225687060E-05 ;   -0.2482846646112655E-04 ;    0.4406079599106180E-06 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3349706329616457E-03 ;    0.2052929899880164E-03 ;    0.2006377606380937E-03 ;    0.2368594132105404E-05 ;   -0.3308703347060098E-05 ;    0.1562639766501675E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.5690169334912230E-04 ;    0.2246275821037465E-03 ;   -0.1308608834183668E-04 ;    0.5768318834845835E-05 ;    0.4637869027540843E-05 ;    0.1347712588538436E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.8789727546844813E-04 ;    0.2180064642682674E-03 ;   -0.7111860439962847E-04 ;   -0.6390397889884457E-05 ;   -0.3507269067108329E-04 ;   -0.3350269471033827E-06 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1668320981956480E-03 ;    0.2406736398105351E-03 ;    0.7840299474260609E-05 ;    0.1004101442997335E-04 ;   -0.1801392589973145E-04 ;    0.3819859053592193E-05 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2215217356052712E-03 ;    0.3080456385735802E-03 ;   -0.2115094132712899E-04 ;   -0.7581502376131966E-05 ;    0.8977207925623627E-05 ;    0.5922859303246790E-06 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3269236681807704E-03 ;    0.3909551667103706E-03 ;   -0.7826935333253164E-04 ;   -0.4208320572436917E-05 ;   -0.4249290673544785E-04 ;    0.4353772184880342E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3440257937362225E-03 ;    0.4330268392430492E-03 ;   -0.1730086355983278E-03 ;    0.1106148137657933E-04 ;   -0.1571965318242043E-04 ;   -0.5220118593839199E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1954746751159559E-03 ;    0.7326371210476236E-05 ;   -0.7022173007980926E-04 ;    0.1109748824149398E-05 ;    0.4257914286881770E-04 ;    0.5251621561302268E-05 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4000962466169464E-03 ;    0.2245080506115549E-03 ;    0.5923705479558407E-04 ;   -0.1164955564313247E-04 ;    0.2492976468981178E-04 ;    0.2834205710460467E-05 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1840202577928991E-03 ;    0.3616791988907662E-03 ;   -0.5333416833321289E-04 ;    0.4170950876030379E-05 ;    0.5453202387890282E-04 ;   -0.3527618829395274E-05 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.5043505142323882E-03 ;    0.4686827342681110E-03 ;    0.9371587583929011E-05 ;    0.3801566447783014E-05 ;   -0.3639204757128279E-04 ;    0.1259918362510923E-05 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1849704041687106E-04 ;    0.1112981802161558E-03 ;    0.1563105908980356E-03 ;    0.3959985162614480E-06 ;    0.1999100321437473E-04 ;    0.4484060501253334E-06 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1603457793397496E-03 ;    0.1179195395346887E-03 ;   -0.6188210853843725E-04 ;   -0.5267849722964572E-06 ;   -0.5423683797049882E-04 ;    0.4595018434312741E-06 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4547722950371733E-04 ;    0.1278883883047358E-03 ;   -0.1009379652478971E-04 ;   -0.2654169668639805E-05 ;   -0.9142376355127017E-05 ;    0.5210578894960419E-06 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.6762192364310823E-04 ;    0.1214581987042487E-03 ;    0.1084607521294480E-03 ;    0.6669203476342679E-05 ;   -0.4813477212173518E-05 ;    0.9280453270749752E-06 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1285588597186556E-03 ;    0.1393614134343402E-03 ;    0.1919436454597296E-04 ;    0.3275523501813470E-06 ;    0.2995865136550060E-05 ;    0.6845716102643796E-06 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.8538091421995790E-04 ;    0.1942025145621764E-03 ;   -0.9708675822522566E-04 ;    0.3523266947441821E-05 ;    0.3848641863923385E-04 ;    0.4593768369366114E-06 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2257722287267859E-03 ;    0.2316731681553414E-03 ;   -0.2224452446903446E-03 ;   -0.7662886233174027E-05 ;   -0.3742023907188741E-04 ;    0.1511735157526733E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1845371632819919E-03 ;    0.2624687256766117E-03 ;    0.7268157648174372E-04 ;    0.4707446266142924E-05 ;   -0.1564083346538114E-04 ;    0.1413150522847889E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1027662931433293E-03 ;   -0.4031096825017366E-04 ;   -0.1272197829103728E-04 ;   -0.3061090922770160E-05 ;   -0.4943639429460867E-05 ;    0.8755567275160751E-06 ;
