ALPHA_H;BETA;D_AGAP;R_ST_OUT;DX;DTHETA;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;0.5;45;0.2763799136011375;-0.005995290244372798;-0.03500170039885454;-0.2811515727351949;-0.002647596521043137;-0.00157203314077492
1.6;0.1;1.5;7.5;0.5;45;0.2698845170729584;-0.015242478888;-0.02737732113612088;-0.2704439740417773;-5.866141278146162E-4;4.301708287291323E-4
1.8;0.1;1.5;7.5;0.5;45;0.2503095656538353;0.01388185967841169;-0.02959955287465952;-0.2605612664794819;-0.002476522369556657;0.001447093214217079
2.0;0.1;1.5;7.5;0.5;45;0.2377970200178268;0.003158234296380466;-0.08408043818315124;-0.2439083095778208;-9.417043168902786E-4;0.001381797531628377
1.4;0.2;1.5;7.5;0.5;45;0.8276077922370622;0.01067184545959152;-0.009074476165497542;-0.8322519697544647;-0.00299895527861763;0.001546127204253935
1.6;0.2;1.5;7.5;0.5;45;0.7742070346957681;0.01512557765589711;0.07834321923550003;-0.7853761263786503;-0.001917208595130193;-0.003643427314947587
1.8;0.2;1.5;7.5;0.5;45;0.7420215899423214;-0.02069973765303569;-0.02213879901035945;-0.7458901230221161;5.742725560375908E-4;-8.544128387777383E-4
2.0;0.2;1.5;7.5;0.5;45;0.691017847561162;-0.004355575905984409;0.03261196503146364;-0.6983185135655879;2.063750449884539E-4;0.003239172494585492
1.4;0.3;1.5;7.5;0.5;45;1.353892954793984;-0.001344407720802725;-0.01113388434723509;-1.362715688213545;-0.003725430765469751;0.001417980523066899
1.6;0.3;1.5;7.5;0.5;45;1.303998022272304;0.004034804999712951;0.009648949376537498;-1.284936958497037;0.001718397205133263;0.007407172977210813
1.8;0.3;1.5;7.5;0.5;45;1.233389732689377;0.005014072213286867;-0.008991738485027847;-1.197751387502458;0.003443299948302371;-0.002889859873814928
2.0;0.3;1.5;7.5;0.5;45;1.123312777614939;-0.007759499950152449;-0.005448692190295671;-1.115217018358298;5.889177615478001E-4;2.909488277352677E-4
1.4;0.1;1.75;7.5;0.5;45;0.1776477976943214;0.002199079607390689;-0.01213872253871645;-0.1820015513962519;2.174419368910047E-4;0.001666808158430654
1.6;0.1;1.75;7.5;0.5;45;0.1778072900474447;0.005383005869981833;0.02252822065331374;-0.1788327854902294;-1.320131496802715E-4;-0.002820524345452093
1.8;0.1;1.75;7.5;0.5;45;0.1499137631535023;-0.01630234242724028;-0.01667181371511786;-0.169595522588358;6.07925877137617E-4;-6.504208795449039E-4
2.0;0.1;1.75;7.5;0.5;45;0.153729742872344;-0.004079491852538333;-0.01963970575424019;-0.1663879217085095;0.002839115154351324;0.004787198190994584
1.4;0.2;1.75;7.5;0.5;45;0.5671573386096779;0.002919340495245036;0.004221066792882679;-0.5647182524604274;1.815717335897882E-4;4.869618192989375E-4
1.6;0.2;1.75;7.5;0.5;45;0.5678759750002957;-0.02146775909749771;0.04423479003482787;-0.549148526997222;0.002644105228977698;0.00550741161828149
1.8;0.2;1.75;7.5;0.5;45;0.5329281194513328;0.009350878602637724;-3.541991616321108E-4;-0.5357745762447154;4.219324071531867E-4;-6.256236418727909E-4
2.0;0.2;1.75;7.5;0.5;45;0.5268621177031596;0.002052193388729633;0.04285353864567498;-0.5149349285184607;0.001031289934962128;-0.002557660699030134
1.4;0.3;1.75;7.5;0.5;45;0.9704350276342047;0.008717552663516316;-0.01680499437678453;-0.9682202495575384;1.367162335639339E-4;-0.002126238164400772
1.6;0.3;1.75;7.5;0.5;45;0.9367856676905436;-0.001348509550875844;0.0203168652975815;-0.9336631525061334;-0.003314113436402408;-0.001531428056695577
1.8;0.3;1.75;7.5;0.5;45;0.896746505850141;0.004879000948404154;-0.01025029157231567;-0.8942149265543831;-0.004536628721855394;0.002348714371113187
2.0;0.3;1.75;7.5;0.5;45;0.838065468029547;0.009100996920458175;0.04132255560918494;-0.8496481833797573;0.002122217417218614;0.003184681234640941
1.4;0.1;2.0;7.5;0.5;45;0.1145940151784482;-0.01270728213351731;-0.00189958708407704;-0.1162358167548818;7.190301783146708E-4;0.002417308123432493
1.6;0.1;2.0;7.5;0.5;45;0.1030576669510753;0.00896095288582355;0.05396265157104808;-0.1166977331916416;0.002611274400045657;0.001001406230107301
1.8;0.1;2.0;7.5;0.5;45;0.08955747181622675;-0.01523348801907963;-0.003839850295062813;-0.1119185231713627;0.001552909144483997;-0.00324056897474982
2.0;0.1;2.0;7.5;0.5;45;0.1037429311792979;-0.006662176829504369;0.01021858838310403;-0.1095394897877248;6.45849157293232E-4;-7.590573461341429E-4
