ALPHA_H;BETA;D_AGAP;R_ST_OUT;DZ;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;0.5;0.004904205832922219;-0.002672515271205339;-0.03413007241612844;0.001869742568713598;0.004029358069812772;0.1474081188203746
1.6;0.1;1.5;7.5;0.5;0.00642188931222307;-0.00603771150854248;-0.06084351855537249;0.004754070923200912;4.924018679976255E-4;0.1419449090396935
1.8;0.1;1.5;7.5;0.5;-0.005545779941480563;0.004061202385729264;-0.05770032640824183;7.87116331206199E-4;3.820814326635561E-4;0.1408320704432406
2.0;0.1;1.5;7.5;0.5;-0.02968976659689904;0.008496781660746095;-0.1592978983056418;0.006136688717027702;0.001559048535193426;0.1299671441911677
1.4;0.2;1.5;7.5;0.5;0.005930172506003242;-0.01894647190283265;-0.2117996583416316;0.002130579086897936;4.281651494645609E-4;0.2790032930113797
1.6;0.2;1.5;7.5;0.5;0.01027941484679503;0.003158164413764297;-0.2627001905870167;-0.003606231890335536;0.001679359899000094;0.2964045257295175
1.8;0.2;1.5;7.5;0.5;0.01387928050737746;-0.01800684879985977;-0.2437935267540677;0.002075704983130902;0.00596073947826403;0.3031448214483754
2.0;0.2;1.5;7.5;0.5;0.007471515465894633;0.001386674109126687;-0.302999056543979;-0.00655829996195648;0.002128530911136797;0.3063961798551977
1.4;0.3;1.5;7.5;0.5;-0.002469899051357631;0.0030757739704237;-0.3201609221559362;5.971397457669896E-4;-3.104518349495572E-7;0.3370776304207441
1.6;0.3;1.5;7.5;0.5;0.008189279634555385;-3.114581357226229E-4;-0.3019987445045951;0.004859820815216101;-0.001380903830779311;0.3647193570601255
1.8;0.3;1.5;7.5;0.5;0.008418826798290117;0.002503925412468414;-0.4078236894491752;0.002221558584317259;-0.002171703312487055;0.3681659093152218
