 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.9371672781679958E-04 ;    0.2053874347164062E-03 ;   -0.7048805769617007E-04 ;    0.2084339753647670E-05 ;    0.3056449144716312E-04 ;    0.6672046163459704E-06 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.5244569371183317E-04 ;    0.2204387306334719E-03 ;    0.4096938744150111E-04 ;   -0.7892993307947815E-05 ;    0.1428603307921402E-04 ;    0.6250590376601823E-06 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1881984784104547E-03 ;    0.2191151228130672E-03 ;    0.2886294155719370E-04 ;    0.5130868187451635E-05 ;    0.3531456101500865E-04 ;   -0.3118012266230979E-07 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2133944667982305E-04 ;    0.2139953025795595E-03 ;    0.7462334568321162E-04 ;   -0.2889090193241783E-05 ;    0.2341891995275536E-04 ;   -0.6482857345661826E-06 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.3223789048666479E-04 ;    0.2354785965862531E-03 ;   -0.7902123653966405E-04 ;    0.4079470959137579E-05 ;    0.3447659025659351E-05 ;   -0.8796330002385142E-06 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2952138402933087E-03 ;    0.3264875365433299E-03 ;    0.2264460405185948E-04 ;    0.7364562835019615E-05 ;   -0.2762384369189566E-04 ;   -0.7707552259976752E-06 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.5037752211862813E-03 ;    0.3824285540381666E-03 ;    0.1315594265560194E-03 ;    0.1142574451589733E-04 ;    0.1779483180531446E-04 ;   -0.1763385423266293E-05 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1732522133807317E-03 ;    0.4359548809991438E-03 ;    0.1664011345786098E-03 ;    0.7113608828606126E-05 ;    0.2109289417728072E-04 ;    0.5040780914632325E-05 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1119774141618553E-03 ;   -0.5592019952921470E-05 ;   -0.6657223924996370E-04 ;   -0.8300231201301429E-06 ;   -0.2782724812666293E-04 ;   -0.4661383880839837E-06 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2583166199007534E-03 ;    0.2002761271669205E-03 ;    0.3142951376662244E-04 ;   -0.7292994027775044E-05 ;    0.2979104618404597E-04 ;   -0.3799724690764146E-05 ;
