 ALPHA_H ; BETA ; D_AGAP ; L_BAR_PH ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.5713653469652039E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.5445796326794897E+01 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.5237462993461564E+01 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.5070796326794897E+01 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7856510612509183E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7320796326794897E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.6904129660128231E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.6570796326794897E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.9999367755366325E+01 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.9195796326794897E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.8570796326794898E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.8070796326794897E+01 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.6499051633049487E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.6231194490192346E+01 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.6022861156859012E+01 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.5856194490192345E+01 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.8641908775906632E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.8106194490192346E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7689527823525679E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7356194490192345E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.1078476591876378E+02 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.9981194490192344E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.9356194490192346E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.8856194490192344E+01 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7284449796446936E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7016592653589793E+01 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.6808259320256460E+01 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.6641592653589793E+01 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.9427306939304080E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.8891592653589793E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.8474925986923127E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.8141592653589793E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1157016408216122E+02 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1076659265358979E+02 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.1014159265358979E+02 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.9641592653589793E+01 ;
