ALPHA_H;BETA;D_AGAP;R_ST_OUT;JF_RMS;IF_HAT;A_CU;P_CU_TOT;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.04413878508139802;-0.009072064984518013;-0.04926745556931415;-0.05659056713006173;0.00592081621507044;0.02085493466069664;-0.008472762558799033
1.6;0.1;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.041887713114614256;-0.009020137566255129;-0.04347137271632986;-0.04821308956478173;0.007045836249549883;0.01356847751738297;-0.006282032751330813
1.8;0.1;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.04013687936267133;0.005079671817978079;-0.04157415879968736;0.009634229752852481;0.004310227862842288;0.00929040752847906;0.003056250630076631
2.0;0.1;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.03873621236111699;-0.008989136075853537;-0.03764865879043294;-0.009699829209536182;9.80001601678915E-4;0.005941406346195987;0.001401297954434659
1.4;0.2;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.06214736081566814;-0.02830720265253043;-0.04858120543241763;0.005252587598941984;0.02291339842417164;0.03424677426877369;-0.002155046167160439
1.6;0.2;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.0576452168821006;-0.01962759169080785;-0.0404238361184571;-0.007303430484736992;0.01494588918319932;0.02409844588135326;0.006514638767597069
1.8;0.2;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.05414354937821474;-0.01350766198959745;-0.0220943694155253;0.02981649990169287;0.01332258186894382;0.01634002369724906;0.001350055086063479
2.0;0.2;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.05134221537510607;0.001478923943771396;-0.02446819543155249;8.208614423205903E-4;0.002321614422803198;0.00858417702796118;-6.801771163405839E-4
1.4;0.3;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.08015593654993824;-0.051454366731931;-0.06635011155948492;0.01031218562999944;0.03418959170893431;0.05114982619659997;0.003740667657485119
1.6;0.3;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.07340272064958694;-0.03812370706966574;-0.06387101976182996;-0.01575604566969786;0.02093339507402619;0.03708027714718658;-0.004624428702608277
1.8;0.3;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.06815021939375816;-0.02513371709658215;-0.04380160482763566;-0.007849978690132944;0.01118952853808039;0.01992198114013592;0.004332102438678287
2.0;0.3;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.06394821838909513;-0.02113357543432609;-0.0381243431539681;0.002870253124304708;0.005074153233711565;0.01560978267945682;0.004635741619591439
1.4;0.4;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.09816451228420835;-0.05835554931283894;-0.09874899437085384;-0.02270407580487253;0.04391007921840147;0.07208695740741303;9.189546114433834E-4
1.6;0.4;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.08916022441707329;-0.0498808273362908;-0.06695938825191783;0.007282752856455607;0.0237178919278234;0.04681702593798047;-0.003234822225541224
1.8;0.4;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.08215688940930158;-0.04490025624037381;-0.06514253092684334;0.00731329209307716;0.01649636245962703;0.03057963319632685;0.002371398935459763
2.0;0.4;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.07655422140308422;-0.02258660479044634;-0.0394938000471904;0.02682218356575357;0.01471439541672267;0.02429440171406751;0.006351807204421211
1.4;0.5;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.11617308801847848;-0.08489519996681923;-0.1230206453969596;0.02730122858713168;0.05982197516449603;0.09671288942359851;-0.006941026118632189
1.6;0.5;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.10491772818455963;-0.0440650603888716;-0.08036457450378964;0.008885921478830792;0.04594410753100282;0.06612663810842632;0.006236272977307028
1.8;0.5;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.096163559424845;-0.04651255864914677;-0.08090540785045967;-0.001020988806466087;0.03718165158545338;0.04984659656292187;-0.002893654485135231
2.0;0.5;1.5;7.5;10;11.790727797420278;0.8337303580680603;0.08916022441707329;-0.03923472085392568;-0.06168609710285877;0.001537248561454008;0.02382377401641199;0.03707438945667535;0.004066417094701163
1.4;0.1;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.10747742560576537;-0.01572049112221308;-0.05689066520346203;0.02804565826561291;0.01617131758513345;0.03437639403373002;0.003473072342224689
1.6;0.1;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.10325802501102094;-0.02013021209167691;-0.05461316785436279;-0.0169181611409236;0.01636555929249478;0.03277351483710538;-0.006191969957736281
1.8;0.1;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.09997626899288638;-0.03154367731260587;-0.06649752167567183;-0.00519719985796795;0.01609622231920356;0.02848369748499974;2.168047616718469E-4
2.0;0.1;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.09735086417837871;-0.03365295226463932;-0.05570411033788901;-6.580846373065406E-4;0.01240806220944542;0.02617884077308626;0.004958740501311379
1.4;0.2;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.14123263036372094;-0.05474547789354991;-0.08146950214118782;-0.008913287243762698;0.03654434233650595;0.0643303388560185;-0.001927299080455135
1.6;0.2;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.13279382917423208;-0.05612208927667349;-0.07287596938166897;-0.01668475603819166;0.03360561209553672;0.05911391013265859;1.469702531248056E-4
1.8;0.2;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.1262303171379629;-0.05288832198618901;-0.0837428993085856;0.01762672745953303;0.03472251592048374;0.06060548512953828;0.002491750360408427
2.0;0.2;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.12097950750894759;-0.04171530129625729;-0.0704061683452342;0.06070725943738893;0.02990897487714531;0.05310851708248483;0.001811539556153823
1.4;0.3;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.17498783512167648;-0.08776581425561275;-0.1293724573007461;-0.006799339882723982;0.05707571829000245;0.09886812870482946;-9.592443921039803E-5
1.6;0.3;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.16232963333744313;-0.09317984778421753;-0.1262214032432013;-0.002040567054832836;0.05696769682241805;0.0937627334876362;0.00180113222127232
1.8;0.3;2.0;7.5;10;22.100494615454434;1.5627409610164609;0.15248436528303946;-0.0807881629858059;-0.1269371132227921;0.003626070160135431;0.05285607416596409;0.08951394094713853;0.00423418216389883
