ALPHA_H;BETA;D_AGAP;R_ST_OUT;BRMS/A
1.4;0.1;1.5;7.5;0.1602706109454399
1.6;0.1;1.5;7.5;0.16146440131821868
1.8;0.1;1.5;7.5;0.16238156491951397
2.0;0.1;1.5;7.5;0.15997822456833344
1.4;0.2;1.5;7.5;0.24873068482914285
1.6;0.2;1.5;7.5;0.25284815307132
1.8;0.2;1.5;7.5;0.2557562369841481
2.0;0.2;1.5;7.5;0.25648010560067236
1.4;0.3;1.5;7.5;0.29545478089513544
1.6;0.3;1.5;7.5;0.30224505031156834
1.8;0.3;1.5;7.5;0.3058521057872912
2.0;0.3;1.5;7.5;0.30801043725749083
1.4;0.4;1.5;7.5;0.3226805438063394
1.6;0.4;1.5;7.5;0.33225221355244433
1.8;0.4;1.5;7.5;0.3353914509688063
2.0;0.4;1.5;7.5;0.33759871621914944
1.4;0.5;1.5;7.5;0.34055180472056096
1.6;0.5;1.5;7.5;0.348331994746849
1.8;0.5;1.5;7.5;0.35264313356716465
2.0;0.5;1.5;7.5;0.3560424052803068
1.4;0.1;2.0;7.5;0.10939869275769507
1.6;0.1;2.0;7.5;0.11060130881464972
1.8;0.1;2.0;7.5;0.11019000378737999
2.0;0.1;2.0;7.5;0.11273744837814031
1.4;0.2;2.0;7.5;0.17945314122477093
1.6;0.2;2.0;7.5;0.18300844827049
1.8;0.2;2.0;7.5;0.18544062355373836
2.0;0.2;2.0;7.5;0.1872744811553715
1.4;0.3;2.0;7.5;0.2211669840204354
1.6;0.3;2.0;7.5;0.22619101637769704
1.8;0.3;2.0;7.5;0.2303444385662682
2.0;0.3;2.0;7.5;0.23322234313776788
1.4;0.4;2.0;7.5;0.24615022443210002
1.6;0.4;2.0;7.5;0.25233101004644176
1.8;0.4;2.0;7.5;0.25735662648476676
2.0;0.4;2.0;7.5;0.2602441409838317
1.4;0.5;2.0;7.5;0.2632170200704486
1.6;0.5;2.0;7.5;0.26971968724488427
1.8;0.5;2.0;7.5;0.2750113598365051
2.0;0.5;2.0;7.5;0.27770619450790174
1.4;0.1;2.5;7.5;0.08953665657248708
1.6;0.1;2.5;7.5;0.09122409131187399
1.8;0.1;2.5;7.5;0.0903684138036744
2.0;0.1;2.5;7.5;0.09056625238513226
1.4;0.2;2.5;7.5;0.1481486682248586
1.6;0.2;2.5;7.5;0.15061675782918676
1.8;0.2;2.5;7.5;0.15218721919743766
2.0;0.2;2.5;7.5;0.15386398170684681
1.4;0.3;2.5;7.5;0.18509541079267344
1.6;0.3;2.5;7.5;0.1888702278896638
1.8;0.3;2.5;7.5;0.1921841785954935
2.0;0.3;2.5;7.5;0.19588324874586224
1.4;0.4;2.5;7.5;0.208147757188306
1.6;0.4;2.5;7.5;0.21377391445436347
1.8;0.4;2.5;7.5;0.21786696403611336
2.0;0.4;2.5;7.5;0.2207919245943862
1.4;0.5;2.5;7.5;0.22354984437122452
1.6;0.5;2.5;7.5;0.2297847656224124
1.8;0.5;2.5;7.5;0.23383511735500226
2.0;0.5;2.5;7.5;0.23726146602571097
1.4;0.1;3.0;7.5;0.07403364146298497
1.6;0.1;3.0;7.5;0.0769564325443452
1.8;0.1;3.0;7.5;0.07657590292474672
2.0;0.1;3.0;7.5;0.07803495800088232
1.4;0.2;3.0;7.5;0.12134283096707688
1.6;0.2;3.0;7.5;0.12364352512898442
1.8;0.2;3.0;7.5;0.12583819482619132
2.0;0.2;3.0;7.5;0.12690225909179062
1.4;0.3;3.0;7.5;0.15337672901935046
1.6;0.3;3.0;7.5;0.15728466471569558
1.8;0.3;3.0;7.5;0.1593808742359884
2.0;0.3;3.0;7.5;0.16219896221514774
1.4;0.4;3.0;7.5;0.17264658602012412
1.6;0.4;3.0;7.5;0.17824494423407833
1.8;0.4;3.0;7.5;0.180690074938861
2.0;0.4;3.0;7.5;0.18458166495504677
1.4;0.5;3.0;7.5;0.18528532372016943
1.6;0.5;3.0;7.5;0.19172824418137363
1.8;0.5;3.0;7.5;0.19445970804516663
2.0;0.5;3.0;7.5;0.19829938992558646
