 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; JT_RMS ; V_FE_ST ; V_FE_ROT ; V_PM ; V_COIL ; IT_HAT ; P_CU_TOT ; A_CU ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.1732788847394201E+02 ;    0.8212522866555034E+02 ;    0.4800998003947478E+02 ;    0.6568271589493750E+02 ;    0.1179072779742028E+02 ;    0.4413878508139801E-01 ;    0.8337303580680603E+00 ;    0.7995818492847170E-04 ;   -0.1080402395178296E-04 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.1516190241469926E+02 ;    0.8212522866555034E+02 ;    0.4800998003947478E+02 ;    0.6233290642055690E+02 ;    0.1179072779742028E+02 ;    0.4188771311461425E-01 ;    0.8337303580680603E+00 ;    0.6722767792812375E-04 ;   -0.9140683227025462E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.1347724659084379E+02 ;    0.8212522866555034E+02 ;    0.4800998003947478E+02 ;    0.5972749905159420E+02 ;    0.1179072779742028E+02 ;    0.4013687936267132E-01 ;    0.8337303580680603E+00 ;    0.6876816572395956E-04 ;   -0.7499835423713094E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.1212952193175941E+02 ;    0.8212522866555034E+02 ;    0.4800998003947478E+02 ;    0.5764317315642406E+02 ;    0.1179072779742028E+02 ;    0.3873621236111698E-01 ;    0.8337303580680603E+00 ;    0.7834152005778637E-04 ;   -0.1046407431233147E-04 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.3465577694788403E+02 ;    0.1642504573311007E+03 ;    0.9601996007894957E+02 ;    0.9248119168998230E+02 ;    0.1179072779742028E+02 ;    0.6214736081566814E-01 ;    0.8337303580680603E+00 ;    0.1670797743620607E-03 ;   -0.2865207917449621E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.3032380482939853E+02 ;    0.1642504573311007E+03 ;    0.9601996007894957E+02 ;    0.8578157274122110E+02 ;    0.1179072779742028E+02 ;    0.5764521688210060E-01 ;    0.8337303580680603E+00 ;    0.1677595748781090E-03 ;   -0.2271796964964669E-04 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.2695449318168758E+02 ;    0.1642504573311007E+03 ;    0.9601996007894957E+02 ;    0.8057075800329572E+02 ;    0.1179072779742028E+02 ;    0.5414354937821474E-01 ;    0.8337303580680603E+00 ;    0.1435011912501127E-03 ;   -0.1730905423095803E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.2425904386351881E+02 ;    0.1642504573311007E+03 ;    0.9601996007894957E+02 ;    0.7640210621295542E+02 ;    0.1179072779742028E+02 ;    0.5134221537510605E-01 ;    0.8337303580680603E+00 ;    0.1111523374740800E-03 ;   -0.1658654132526636E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.5198366542182604E+02 ;    0.2463756859966511E+03 ;    0.1440299401184244E+03 ;    0.1192796674850271E+03 ;    0.1179072779742028E+02 ;    0.8015593654993824E-01 ;    0.8337303580680603E+00 ;    0.2509682969201824E-03 ;   -0.6983350958233565E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.4548570724409779E+02 ;    0.2463756859966511E+03 ;    0.1440299401184244E+03 ;    0.1092302390618853E+03 ;    0.1179072779742028E+02 ;    0.7340272064958696E-01 ;    0.8337303580680603E+00 ;    0.2579611305800732E-03 ;   -0.6691067477864466E-04 ;
