ALPHA_H;BETA;D_AGAP;R_ST_OUT;DZ;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;1.5;7.5;0.5;0.01395098772516791;-0.03955519042476714;0.009893429761148391;-0.005592687031915789;0.001440049701792151;0.1593333273590617
1.6;0.1;1.5;7.5;0.5;0.007223518744602676;-0.04478974019538096;0.03096129189725225;-3.858581389806979E-4;0.006175611090217028;0.1545011351124744
1.8;0.1;1.5;7.5;0.5;0.02753289373443409;-0.02237645626189832;0.003017829056345541;-0.001557617221167545;-0.008531975056713033;0.1618617151024839
2.0;0.1;1.5;7.5;0.5;-0.004767261564109501;-0.02547109036532129;0.04387619899941725;-1.677595630420305E-5;-6.933684774795769E-4;0.1544105797303289
1.4;0.2;1.5;7.5;0.5;-1.226680862374493E-5;0.01123151310348424;-0.2915661143264907;4.693146132434579E-4;2.151925015408561E-4;0.3131040580383906
1.6;0.2;1.5;7.5;0.5;0.006029161851288418;0.01846978601835069;-0.2908398244954937;0.001909165513297643;-0.002245891965070768;0.3326788274727272
1.8;0.2;1.5;7.5;0.5;-8.725381498412515E-4;0.001074461742428522;-0.2901216608325203;-0.001015812859581767;3.039161333660127E-4;0.336782883285415
2.0;0.2;1.5;7.5;0.5;-0.005050488879784466;0.0137221904266638;-0.305869012285968;0.002708322466538285;0.002966258645563595;0.3385326833709288
1.4;0.3;1.5;7.5;0.5;-0.01168764554877831;-0.002127972871868361;-0.3703938191353778;0.001592186872505789;5.818632112348822E-4;0.3824596553479323
1.6;0.3;1.5;7.5;0.5;0.001617343428940045;0.005903184954944843;-0.3548136502147655;4.107636807033945E-4;2.673148255770402E-4;0.4080450034757852
1.8;0.3;1.5;7.5;0.5;-0.00730627953570027;-0.001686252545019825;-0.3856485541171608;-8.581960975595146E-5;9.59400341921538E-4;0.4085153961499863
2.0;0.3;1.5;7.5;0.5;-0.006317269900518523;-0.008527931691305246;-0.3967412601122544;-0.003495105961232544;0.001858600320220988;0.3854228335525387
1.4;0.4;1.5;7.5;0.5;0.002053453601360077;-0.00761876036639984;-0.4172119261006536;0.002383772973325;-0.003237703207088952;0.4134102135840082
1.6;0.4;1.5;7.5;0.5;0.002841911996008275;-5.068033719451796E-5;-0.41321722802096;-0.001280479620599431;1.935767606573555E-4;0.4157331208549461
1.8;0.4;1.5;7.5;0.5;-0.00553817161464281;-0.001448852811908027;-0.3853760872165082;-0.001293270959936808;0.003204011873287463;0.4186297434690814
2.0;0.4;1.5;7.5;0.5;0.003238594294584245;0.005267911995532856;-0.3966134905590161;-0.001947300667089615;0.002974067010044233;0.3858147799737581
1.4;0.5;1.5;7.5;0.5;0.0166493751261186;2.911314520316682E-4;-0.4303826534478229;0.005393874718534192;-0.003749552279564049;0.4345937304225624
1.6;0.5;1.5;7.5;0.5;0.00871200327025072;0.01181323836798168;-0.40550880524226;0.002475784898857754;0.002699348157156532;0.4205584620812651
1.8;0.5;1.5;7.5;0.5;0.01009983382871796;0.005345313674445199;-0.3478945170728943;-0.002371146286054067;-0.004373053772457522;0.3740205390203983
2.0;0.5;1.5;7.5;0.5;-0.001195370485406317;-0.003784135170549083;-0.3551802074495082;-0.002074172293813368;0.001158534669523911;0.3506800550981518
1.4;0.1;2.0;7.5;0.5;0.04177574644451415;-0.06128251730713041;0.07631708938485095;-7.299221951764921E-4;0.005883282857057797;0.05558653455947771
1.6;0.1;2.0;7.5;0.5;0.0416657610286626;-0.04772445206691547;0.07840303446827564;-0.001312782942641264;0.001269589138612269;0.05662865783435804
1.8;0.1;2.0;7.5;0.5;0.03747592069708416;-0.0199483587989934;-0.0304553539560603;-1.566127149794626E-4;-2.802536785270509E-4;0.05103832239940689
2.0;0.1;2.0;7.5;0.5;0.03423311922489464;-0.02147706464312637;0.06230651795984483;-0.001081166744766805;2.673556390421221E-4;0.05400995867022733
1.4;0.2;2.0;7.5;0.5;0.01225547089206312;0.006698369093722786;-0.0997804832674169;-0.00110373535949032;0.001398175834741682;0.1410903030950348
1.6;0.2;2.0;7.5;0.5;0.01000328599009023;0.008342934376153894;-0.1182686664885224;-1.390762100906917E-4;-1.242889341683025E-4;0.1472244760176833
1.8;0.2;2.0;7.5;0.5;0.008097305417848207;0.00682108371991995;-0.1392787705695924;-0.001240647952390116;-0.001708548692174444;0.1491506152850768
2.0;0.2;2.0;7.5;0.5;0.01547362212625832;0.01799839989502255;-0.09894339079911492;0.001004029948421793;-0.001336993731510254;0.146396807963948
1.4;0.3;2.0;7.5;0.5;-0.006683687694532963;-0.01067092999634124;-0.1827043144807975;-0.002397825746697179;0.00304860037929706;0.1815781264847487
1.6;0.3;2.0;7.5;0.5;-0.005207717705535542;0.005700055542211984;-0.1906381524129609;5.461258003772286E-4;-0.004595711242944335;0.1938028725960707
1.8;0.3;2.0;7.5;0.5;-0.005354965590909479;0.003780924693041916;-0.1849838569331324;6.723866188969442E-4;-0.001083031652623991;0.191699273013812
2.0;0.3;2.0;7.5;0.5;0.00679711965151258;0.00344387684175647;-0.1844644496449622;-4.398973665052678E-4;0.0020328031462653;0.1951019632047433
1.4;0.4;2.0;7.5;0.5;-0.001794990892578705;-0.01654620499842582;-0.2030544947102231;0.001192215666014936;-0.001752903862424968;0.1987467456506503
1.6;0.4;2.0;7.5;0.5;0.0044953159170287;-3.153393949878919E-5;-0.2197571778531446;-6.21452031067506E-5;-0.001459062007160622;0.2067799334730165
1.8;0.4;2.0;7.5;0.5;-0.002218587432796133;-0.002389501247259136;-0.1870483107866147;-9.642483933534113E-4;-9.014166097472518E-4;0.2063811882803653
2.0;0.4;2.0;7.5;0.5;-0.006339879510767388;-0.001274565906340043;-0.1935668050763829;0.003333582904329344;0.001067165877211812;0.196947274329311
1.4;0.5;2.0;7.5;0.5;0.001875952195131545;0.02143092081596173;-0.198245209894467;-0.001796251255093053;-0.001301898745945149;0.2097933940086848
1.6;0.5;2.0;7.5;0.5;0.01540542608349585;-0.003853845558698343;-0.2318246205691256;-8.458305365727625E-4;-6.330269419229794E-4;0.2064293979231263
1.8;0.5;2.0;7.5;0.5;-0.002343850715695932;0.01792273582281791;-0.1907412604915145;0.001964727158148723;-0.001505046076801436;0.1969430189461321
2.0;0.5;2.0;7.5;0.5;-0.007527316828609602;-0.01289895187568562;-0.1902133261424165;-4.359562254660013E-4;0.002777497964809417;0.1889036607599248
1.4;0.1;2.5;7.5;0.5;0.02847110631149278;-0.03100181104520874;0.1456565888783778;-0.002200019810376075;4.314350768206262E-4;0.02122013284460883
1.6;0.1;2.5;7.5;0.5;0.03302254298160879;-0.04265879043612311;0.04708475355151589;-4.378810960923763E-4;0.002293714734086591;0.01868681129153704
1.8;0.1;2.5;7.5;0.5;0.01414067927658077;0.005395999831355759;0.04329914005074576;-0.001871844684132608;2.813082547386295E-4;0.01701230588816768
2.0;0.1;2.5;7.5;0.5;-0.007259260621654978;0.005553698250554243;0.1311223931761759;8.817571045435135E-4;1.800089190950197E-4;0.02343004102539198
